num,indID,mat,pop,lat,lon,state,region,pc1,trt,blockNum,blockID,nigrescens,bolted,dryWeight,stemHeight,stemWidth,closedCap,openCap,numSeed,numSeedCap,leafFreshWt,leafTurgWt,leafDryWt,RWC,boltDate,flowerDate,boltJulian,boltExpDays,flowerJulian,flowerExpDays,chlor_1,chlor_2,chlor_3,chlor_4,chlor_5,chlor_6,chlor_7,chlor_8
65,SE-14-3,SE-14,SE,42.27916,-123.641852,OR,US,4.77412624,C,C5,C5-5,0,1,27.39,69.4,5.41,36,0,0,0,0.54,0.59,0.09,90,5/28/2022,NA,148,19,NA,NA,43.3,40,40.5,43.6,43.4,42.3,41,35
66,SP4-4-2,SP4-4,SP4,43.025217,-5.825167,SP,EU,0.434514309,C,C5,C5-6,0,1,22.99,43.5,3.88,9,10,69,2,1.12,1.23,0.22,89.10891089,5/16/2022,6/15/2022,136,7,166,37,49.8,48.8,44.2,46.9,48,47.9,48.5,46.1
67,SP2-2-2,SP2-2,SP2,43.536733,-6.520533,SP,EU,2.178756034,C,C5,C5-7,0,1,22.14,58.1,3.98,6,4,20,2,0.77,0.85,0.15,88.57142857,5/12/2022,6/26/2022,132,3,177,48,36.8,35.1,38.8,37,35.5,38.7,38.5,36
68,NOR5-3-2,NOR5-3,NOR5,59.435433,10.494067,NOR,EU,-3.336593887,C,C5,C5-8,0,0,20.87,NA,NA,NA,NA,NA,NA,1.04,1.11,0.2,92.30769231,NA,NA,NA,NA,NA,NA,43.9,49.7,51.9,59,47.2,52.3,51.1,56.2
69,SE-11-6,SE-11,SE,42.27916,-123.641852,OR,US,4.77412624,C,C5,C5-9,0,0,22.86,NA,NA,NA,NA,NA,NA,0.6,0.64,0.11,92.45283019,NA,NA,NA,NA,NA,NA,36.3,38.7,40.2,45,42,39.5,36.3,35.8
70,NOR8-4-1,NOR8-4,NOR8,59.55275,10.441783,NOR,EU,-3.602537116,C,C5,C5-10,0,0,26.8,NA,NA,NA,NA,NA,NA,1.56,1.77,0.28,85.90604027,NA,NA,NA,NA,NA,NA,53.6,56.6,52.8,51.6,51.1,49.4,46,45.6
71,FR2-7-2,FR2-7,FR2,45.493017,5.382683,FR,EU,-1.632805986,C,C5,C5-11,0,0,26.65,NA,NA,NA,NA,NA,NA,1,1.06,0.3,92.10526316,NA,NA,NA,NA,NA,NA,40.4,36.5,40.4,35.1,33,35,36.7,31.1
72,IL-1-3,IL-1,IL,47.168389,-123.113595,WA,US,3.756822763,C,C5,C5-12,0,1,22.36,55.4,3.29,8,6,16,2,1.45,1.57,0.29,90.625,5/16/2022,6/21/2022,136,7,172,43,53.1,48.3,55.1,43.3,53,50.8,54.9,52.1
73,TR-12-2,TR-12,TR,48.94619,-122.35244,WA,US,1.179044273,C,C5,C5-13,0,1,22.38,67.5,3.77,9,0,0,0,0.61,0.66,0.13,90.56603774,6/9/2022,NA,160,31,NA,NA,37.9,37.8,38.9,40.8,31.9,37,37.7,38.2
74,TR-11-3,TR-11,TR,48.94619,-122.35244,WA,US,1.179044273,C,C5,C5-14,0,1,23.95,76.2,5.25,17,0,0,0,0.59,0.81,0.13,67.64705882,6/2/2022,NA,153,24,NA,NA,45.5,51.1,41.4,48.5,48.5,47.7,49.8,49.9
75,FR3-17-5,FR3-17,FR3,45.406583,5.42325,FR,EU,-1.632805986,C,C5,C5-15,0,1,27.15,94.7,4.54,17,4,0,2,0.79,0.88,0.19,86.95652174,5/25/2022,NA,145,16,NA,NA,33.9,40.6,38.5,38.7,34.3,39.3,43.3,36.1
76,BJ-15-1,BJ-15,BJ,48.789608,-122.463926,WA,US,1.005059733,C,C6,C6-1,0,1,26.41,47.6,3.21,19,4,101,2,0.97,1.08,0.19,87.64044944,5/16/2022,6/18/2022,136,7,169,40,34.5,38.6,40.3,36.5,31.3,34.9,40,36.2
77,JC-14-3,JC-14,JC,48.16472222,-123.2997222,WA,US,1.486506186,C,C6,C6-2,0,1,28.88,37.1,4.14,21,2,12,2,0.6,0.67,0.12,87.27272727,5/15/2022,6/21/2022,135,6,172,43,45.2,43.5,42.7,41.8,41.6,44.8,41.8,40.4
78,SE-15-2,SE-15,SE,42.27916,-123.641852,OR,US,4.77412624,C,C6,C6-3,0,1,26.07,39.5,4.13,29,2,27,2,1.37,1.37,0.23,100,5/10/2022,6/8/2022,130,1,159,30,44,45.2,45.7,40.7,38.3,39,48.6,41.2
79,SP2-12-1,SP2-12,SP2,43.536733,-6.520533,SP,EU,2.178756034,C,C6,C6-4,0,1,25.32,47.2,3.47,12,2,34,2,0.5,0.51,0.07,97.72727273,5/15/2022,6/21/2022,135,6,172,43,45.7,47.6,43.6,47.3,43.4,42.3,40.1,41.4
80,WC-1-4,WC-1,WC,47.241995,-120.696261,WA,US,-0.008288374,C,C6,C6-5,0,1,26.49,40.1,3.21,39,2,6,2,0.44,0.48,0.09,89.74358974,5/13/2022,6/11/2022,133,4,162,33,43.3,46.1,44.9,39.4,38.3,45.9,40.6,38.4
81,FR2-7-4,FR2-7,FR2,45.493017,5.382683,FR,EU,-1.632805986,C,C6,C6-6,0,1,25.79,54.9,4.21,25,3,45,2,1.18,1.28,0.23,90.47619048,5/9/2022,6/7/2022,129,0,158,29,40.8,45.1,50.8,50.4,48.7,39.9,40.6,42.4
82,TR-11-6,TR-11,TR,48.94619,-122.35244,WA,US,1.179044273,C,C6,C6-7,0,1,24.9,76.3,4.27,12,0,0,0,0.88,0.93,0.17,93.42105263,6/7/2022,NA,158,29,NA,NA,42.7,42,45.6,42.8,42.8,42.4,43.6,43.4
83,AP-2-3,AP-2,AP,45.80877,-121.27622,WA,US,2.000652915,C,C6,C6-8,0,1,23.77,40,3.07,37,2,49,2,0.98,1.07,0.16,90.10989011,5/8/2022,6/1/2022,128,-1,152,23,52.7,52,53.1,52.5,49,54.1,52.5,52.4
84,BJ-1-3,BJ-1,BJ,48.789608,-122.463926,WA,US,1.005059733,C,C6,C6-9,0,1,26.33,54,3.9,11,1,0,1,0.51,0.54,0.1,93.18181818,5/17/2022,NA,137,8,NA,NA,36.6,37.6,37,37.1,35.6,34.6,35.3,38.5
85,JC-17-5,JC-17,JC,48.16472222,-123.2997222,WA,US,1.486506186,C,C6,C6-10,0,1,23.36,45.7,2.95,18,4,12,2,0.92,0.95,0.14,96.2962963,5/18/2022,6/22/2022,138,9,173,44,37.2,43.4,48.1,43.1,43.8,41.7,43.5,39.8
86,DR-2-3,DR-2,DR,43.655301,-123.333033,OR,US,4.200970886,C,C6,C6-11,0,0,25.21,NA,NA,NA,NA,NA,NA,0.86,0.88,0.16,97.22222222,NA,NA,NA,NA,NA,NA,40.7,39.4,38.8,40,34.7,35.9,37.7,33.7
87,SP5-8-1,SP5-8,SP5,42.938767,-5.270633,SP,EU,-0.060749591,C,C6,C6-12,0,1,19.54,29.9,2.42,11,2,25,2,0.59,0.62,0.12,94,5/17/2022,6/21/2022,137,8,172,43,41.5,39.5,54.9,52.3,52.6,51.8,56.9,61.9
88,FR2-3-2,FR2-3,FR2,45.493017,5.382683,FR,EU,-1.632805986,C,C6,C6-13,0,1,27.42,50.2,4.49,9,2,61,2,0.38,0.48,0.08,75,5/11/2022,6/9/2022,131,2,160,31,48.8,45.8,45.9,42.3,41.8,40.6,45.9,42
89,HO-2-3,HO-2,HO,44.224196,-123.511671,OR,US,4.323314778,C,C6,C6-14,0,1,26.51,51.2,3.6,26,3,52,2,1.07,1.18,0.19,88.88888889,5/13/2022,6/15/2022,133,4,166,37,48.5,51.5,44.3,38,41.6,47.9,52.5,46.4
90,SP2-13-2,SP2-13,SP2,43.536733,-6.520533,SP,EU,2.178756034,C,C6,C6-15,0,1,18.35,49.1,3.81,4,0,0,0,0.94,1.03,0.16,89.65517241,6/20/2022,NA,171,42,NA,NA,36.9,35.3,31.9,34.6,28.3,36.8,41.6,39.7
91,NOR1-10-4,NOR1-10,NOR1,61.184167,7.233467,NOR,EU,-3.224529786,C,C7,C7-1,0,0,19.39,NA,NA,NA,NA,NA,NA,0.94,1.05,0.16,87.64044944,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,41.8,43.7,42.8,44.7
